disease_id,name,icd_code,department,description
DI36D2CBD685,高血压,I10,心内科,典型症状：头晕、头痛、颈项板紧、心悸。
DIFACBDB6569,2型糖尿病,E11,内分泌科,典型症状：多饮、多尿、多食、体重下降、低血糖。
DICE5633805A,冠心病,I25,心内科,典型症状：胸闷、胸痛、劳力性心绞痛、出汗。
DICAEB496EEA,心房颤动,I48,心内科,典型症状：心悸、胸闷、头晕、晕厥。
DI488D4DAA36,慢性支气管炎,J44,呼吸内科,典型症状：慢性咳嗽、咳痰、活动后气短、喘息。
DI9F9E346E1B,胃溃疡,K25,消化内科,典型症状：周期性上腹痛、反酸、黑便、呕血。
DI6E06E70CA8,高脂血症,E78,内分泌科,典型症状：黄色瘤、动脉粥样硬化、多无明显症状。
DID730796344,偏头痛,G43,神经内科,典型症状：搏动性头痛、畏光畏声、恶心呕吐。
DI68448A045C,感冒,J00,全科,典型症状：发热、咽痛、咳嗽、鼻塞流涕、肌痛。
DI388B8F81C6,骨关节炎,M17,骨科/风湿,典型症状：关节疼痛、活动后加重、关节僵硬、肿胀。
DIEB4672A8C0,高血压（稳定期）,I10.1,心内科,典型症状：颈项板紧、头痛、头晕。
DI5B02F75BC4,高血压（重度）,I10.2,心内科,典型症状：头痛、头晕、颈项板紧。
DIA2684090B6,高血压（不典型型）,I10.3,心内科,典型症状：颈项板紧、头痛、头晕。
DID83749AAAD,高血压（急性期）,I10.4,心内科,典型症状：颈项板紧、头晕、头痛。
DI27782A0CD2,2型糖尿病（合并高脂血症）,E11.1,内分泌科,典型症状：体重下降、低血糖、多食。
DI2619670B5F,2型糖尿病（老年型）,E11.2,内分泌科,典型症状：多食、多尿、低血糖。
DIF242508585,2型糖尿病（急性期）,E11.3,内分泌科,典型症状：多饮、低血糖、多食。
DI2619670B5F,2型糖尿病（老年型）,E11.4,内分泌科,典型症状：低血糖、多饮、体重下降。
DI5400B390B8,冠心病（稳定期）,I25.1,心内科,典型症状：劳力性心绞痛、胸痛、出汗。
DI45DAC2CD48,冠心病（急性期）,I25.2,心内科,典型症状：胸闷、出汗、劳力性心绞痛。
DI3AF8B347F8,冠心病（重度）,I25.3,心内科,典型症状：胸闷、胸痛、劳力性心绞痛。
DI45DAC2CD48,冠心病（急性期）,I25.4,心内科,典型症状：胸闷、劳力性心绞痛、出汗。
DI12B24D27A1,心房颤动（老年型）,I48.1,心内科,典型症状：心悸、胸闷、晕厥。
DIA37AEFF970,心房颤动（稳定期）,I48.2,心内科,典型症状：心悸、头晕、晕厥。
DI12B24D27A1,心房颤动（老年型）,I48.3,心内科,典型症状：头晕、心悸、晕厥。
DI4DC06E71CF,心房颤动（不典型型）,I48.4,心内科,典型症状：晕厥、胸闷、头晕。
DIB7DCF4A571,慢性支气管炎（轻度）,J44.1,呼吸内科,典型症状：喘息、慢性咳嗽、咳痰。
DIF2C2BB65E4,慢性支气管炎（稳定期）,J44.2,呼吸内科,典型症状：活动后气短、喘息、咳痰。
DID72DC27940,慢性支气管炎（合并高脂血症）,J44.3,呼吸内科,典型症状：喘息、咳痰、慢性咳嗽。
DID72DC27940,慢性支气管炎（合并高脂血症）,J44.4,呼吸内科,典型症状：咳痰、喘息、活动后气短。
DIFA60A85663,胃溃疡（重度）,K25.1,消化内科,典型症状：黑便、周期性上腹痛、呕血。
DIE82E970140,胃溃疡（不典型型）,K25.2,消化内科,典型症状：周期性上腹痛、呕血、反酸。
DIE35CA420C2,胃溃疡（急性期）,K25.3,消化内科,典型症状：黑便、周期性上腹痛、呕血。
DIFA60A85663,胃溃疡（重度）,K25.4,消化内科,典型症状：周期性上腹痛、黑便、反酸。
DIBD010287D4,高脂血症（急性期）,E78.1,内分泌科,典型症状：动脉粥样硬化、多无明显症状、黄色瘤。
DI8E83AA0706,高脂血症（不典型型）,E78.2,内分泌科,典型症状：动脉粥样硬化、黄色瘤、多无明显症状。
DIB669613AFE,高脂血症（轻度）,E78.3,内分泌科,典型症状：多无明显症状、黄色瘤、动脉粥样硬化。
DI746D0CE523,高脂血症（合并高脂血症）,E78.4,内分泌科,典型症状：动脉粥样硬化、黄色瘤、多无明显症状。
DI8A63CED39C,偏头痛（老年型）,G43.1,神经内科,典型症状：恶心呕吐、畏光畏声、搏动性头痛。
DI8A63CED39C,偏头痛（老年型）,G43.2,神经内科,典型症状：搏动性头痛、恶心呕吐、畏光畏声。
DIEC1BF8ACE5,偏头痛（稳定期）,G43.3,神经内科,典型症状：畏光畏声、搏动性头痛、恶心呕吐。
DI6C8174D0D9,偏头痛（不典型型）,G43.4,神经内科,典型症状：搏动性头痛、恶心呕吐、畏光畏声。
DI52D1FE45DF,感冒（重度）,J00.1,全科,典型症状：发热、鼻塞流涕、肌痛。
DIA6ED698B01,感冒（急性期）,J00.2,全科,典型症状：肌痛、咳嗽、鼻塞流涕。
DI44E6C85915,感冒（老年型）,J00.3,全科,典型症状：咽痛、肌痛、发热。
DI7CAC5CE7BF,感冒（稳定期）,J00.4,全科,典型症状：发热、肌痛、咽痛。
DI1EAE9E29A7,骨关节炎（急性期）,M17.1,骨科/风湿,典型症状：活动后加重、肿胀、关节疼痛。
DI41126DD758,骨关节炎（合并高脂血症）,M17.2,骨科/风湿,典型症状：活动后加重、肿胀、关节僵硬。
DI41126DD758,骨关节炎（合并高脂血症）,M17.3,骨科/风湿,典型症状：活动后加重、关节僵硬、关节疼痛。
DI70352DC19C,骨关节炎（重度）,M17.4,骨科/风湿,典型症状：肿胀、关节疼痛、关节僵硬。
